id,company_name
416,BUNCOMBE COUNTY FINANCE DEPT
2706,UNITED WAY OF ASHEVILLE & BUNC
9010,PISGAH VIEW COMMUNITY PEACE GARDEN
9012,GREEN OPPORTUNITIES INC
20456,"ZIPS CAR WASH, LLC"
8100,"LAW ENFORCEMENT SERVICES GROUP, PLLC"
8471,CHEADLE'S AUTO ART
14246,"EQUINOX ENVIRON. CONSULT. & DESIGN, INC"
28417,GENTRY HEATING LLC
5260,"B ALLEN CONSTRUCTION, INC."
4983,ENVIRONMENTAL TESTING SOLUTION
22777,TIMMONS GROUP INC.
2037,PISGAH LEGAL SERVICES
10651,"SANGIOVANNI, JAMES"
14922,ROBERT L. SIMMONS
13965,"CONTINUANT, INC."
19132,PROJECT LIGHTEN UP
31405,"TRAFFIC PLANNING AND DESIGN, INC."
7136,MICHAEL A TAYLOR
7233,"KATHY MARTH, M. A."
10516,I HAVE A DREAM FOUNDATION
4203,CAVANAUGH & ASSOCIATES PA
4574,KIMLEY-HORN AND ASSOCIATES
16962,"CODE STUDIO, INC."
18553,"DEANGELO BROTHERS, INC."
27294,MUSCO SPORTS LIGHTING
28140,MEDIA PARTNERS CORP
6106,DURALINE IMAGING INC
17071,"COMMERCIAL INSURANCE CONSULTANTS, INC."
19978,"BULLINGTON CONSTRUCTION, INC."
21537,"DUDE SOLUTIONS, INC."
23888,"HILLS MACHINERY COMPANY,LLC"
20306,HYPERSIGN LLC
27597,AAR OF NORTH CAROLINA INC
11516,"MOTOROLA SOLUTIONS, INC."
585,CAROLINA CORNERSTONE CONSTRUCT
10431,ARMEN CONSTRUCTION LLC.
20274,"FIELD CONSTRUCTION SERVICES, INC."
7306,MOUNTAIN MARIONETTES
12914,ASHEVILLE-BUNCOMBE REGIONAL SPORTS COMMISSION
21051,"BROOKS NETWORK SERVICES, LLC"
5720,JUDY EUBANKS
5763,SCHOOL OF GOVERNMENT
5519,"JOHNSON CONTROLS, INC."
33805,AUSTIN CONSTRUCTION AND GRADING COMPANY
8364,"EMA RESOURCES, INC"
3353,I A T S E LOCAL 278
2926,Y W C A
1343,ICI DOOR CONTROL
10512,"BP SOLUTIONS GROUP, INC."
12332,"WOOD ENVIRONMENT & INFRASTRUCTURE SOLUTIONS, INC."
19645,APPALACHIAN SUSTAINAINABLE AGRICULTURE PROJECT
31351,ERICK LEE
32900,"WTAPS, LLC"
36326,"FLOODFOCUS ENGINEERING, INC."
8768,SOUTHERN STATES COOPERATIVE
8157,ITT WATER & WASTEWATER USA
7919,"REAL ESTATE RESEARCH CONSULTANTS, INC."
7221,CATALOOCHEE SKI PATROL
12971,T. P. HOWARDS PLUMBING CO INC
7544,JT MENZER DBA THE NATURAL GARDENER
7265,SIMPLEXGRINNELL
6812,NC ARBORETUM SOCIETY
10235,ERIKA GERMER
14496,"HAIZLIP STUDIO, PLLC"
14080,"A&D ENVIRONMENTAL SERVICES, INC."
24937,SLATE COMMUNICATIONS
30700,"J BARTHOLOMEW CONSTRUCTION, LLC"
5986,G & K SERVICES
35,ASHEVILLE CHAMBER OF COMMERCE
10095,"NOLAND, RAY"
15977,"STEWART ENGINEERING, INC."
16964,"MCMILLAN PAZDAN SMITH, LLC"
3396,CHILDREN FIRST/COMMUNITIES IN SCHOOLS OF BUNCOMBE
1650,"BOLTON CONSTRUCTION AND SERVICE OF WNC, INC."
16068,"RECREATIONAL VENTURES, INC."
11892,"TWIN HILLS STRUCTURES, PLLC"
25937,KL TRAINING SOLUTIONS
36743,BB LAB
11797,"REI ENGINEERS, INC."
29818,STEPHEN S. KAAGAN
31402,"WGI, INC"
6366,SEAN EUBANKS
10229,THE ASHEVILLE CITY SCHOOLS FOUNDATION
23850,"APEX SYSTEMS, LLC"
24482,"NOVUS BEW ASHEVILLE, LLC"
2904,WHOLESALE GLASS & MIRROR CO.
1188,M B HAYNES CORPORATION
10875,"A.B.B.E. CONSTRUCTION AND REMODELING, LLC"
22628,"JOHN DAVENPORT ENGINEERING, INC."
2340,SKYLAND VOLUNTEER FIRE DEPT
2562,TERMINIX SERVICE
10139,"MUELLER SYSTEMS, LLC"
560,ONTRACK FINANCIAL ED & COUNSEL
9226,C.T. RING ELECTRICAL CONTRACTING INC.
10119,GREEN BUILT ALLIANCE
19199,TENNOCA CONSTRUCTION CO.
2959,PROFESSIONAL BUSINESS INTERIOR** DO NOT USE**
41,ASHEVILLE AREA HABITAT FOR HUM
5264,YOUNG & MCQUEEN GRADING CO.
7710,ESSES CONSULTING
3394,ONTARIO INVESTMENTS INC
2142,ASHEVILLE GREENWORKS
19827,"BOWEN NATIONAL RESEARCH, LLC"
24005,"BLANCHARD,  MILLER, LEWIS & ISLEY PA"
4723,EDWARDS-PITMAN ENVIRONMENTAL
442,RON BURLESON
10266,BLUE RIDGE LANDSCAPING & LAWN MAINTENANCE
2722,DOI US GEOLOGICAL SURVEY
238,"UNITED RENTALS(NORTH AMERICA),INC"
30133,"TURFPLANER OF CAROLINA, LLC"
782,DOVER INSULATION INC.
9016,MICHAEL D HOLTON
16675,"HAZEN AND SAWYER, D P.C."
20993,MHC KENWORTH ASHEVILLE
32566,FINANCIAL RISK ANALYSTS
6735,TYLER TECHNOLOGIES/MUNIS DIVIS
4120,BENEVOLENT PATRIOTIC ORDER OF DOES
8976,"GETTING BACK TO THE BASICS, INC."
10063,"PRINCIPLE LOGIC, LLC"
13324,"MARY WEBER LANDSCAPE ARCHITECTURE,PLLC"
36513,"JASPER HOMESTEAD, LLC"
4003,EDWARDS EQUIPMENT CO INC
11166,"VAN HORN, VAN"
35743,"ALLTEK SECURITY, INC"
9088,"RUSSELL'S PAINT AND BODY, LLC"
30209,"HAROLD A. TALBERT, JR. IRREVOCABLE TRUST"
34502,AGILEASSETS INC
11749,"STARBOARD CONSULTING, LLC."
13352,"LEGACY COMMERCIAL POOL SERVICES, INC."
8553,"AXIS SECURITY, INC."
3385,CUMMINS ATLANTIC LLC
18103,MILLS RIVER PARTNERSHIP
8963,LETTERING BY LARRY COLEMON INC
11820,ROGERS GROUP
19145,"CRIMSON ELECTRIC, INC."
22198,CHRISTY LONDON
23151,"110%, INC."
397,BUCKEYE CONSTRUCTION
148,ASHEVILLE CITY SCHOOLS
10142,PAR-T-PERFECT/DOUGLAS HUTCHINS
17803,LIME ENERGY SERVICES CO.
5101,GNB DBA CAROLINA GOLF CARS
5160,HAYES & LUNSFORD ELECT
4142,GRIGG ELECTRIC CO. INC
1881,NC DEPT OF TRANSPORTATION
10485,"PATTON CONSTRUCTION GROUP, INC."
7734,LEAF GLOBAL ARTS
2935,YMI CULTURAL CENTER
1726,MISSION HOSPITALS
2152,R & W INC
19025,IAN WILKINSON
22089,"WHITNEY COMMERCIAL REAL ESTATE, LLC"
193,ASHEVILLE CONTRACTING COMPANY
8820,"C & C BUSINESSES, INC."
3261,FROEHLING & ROBERTSON INC
10877,DEVELOPMENTAL ASSOCIATES
9156,MICHAEL BAKER ENGINEERING INC
10702,SCOTS SOUND. INC.
9022,MERCURY COMMERCE-ESM SOLUTIONS
836,JANET LAMPKIN
10329,LANDMARK LANDSCAPES
15264,"HYLAND SOFTWARE, INC"
25805,"ALLEGIS GROUP HOLDINGS, INC"
7342,CAROLINA TRACTOR & EQUIPMENT COMPANY
11334,"T&K UTILITIES, INC."
29854,"WITHERSRAVENEL, INC."
5814,UNIFIRST CORPORATION
10020,"HARRIS, SHEEVA K."
26659,BLUE LIGHT LLC      
8332,SASHA ALEXANDRA VRTUNSKI
1203,HOUSING AUTHORITY OF THE CITY OF ASHEVILLE
10547,DLT SOLUTIONS
18114,"CAROLINA TIME EQUIPMENT CO., INC."
36502,PRECISE MRM LLC
4077,SNOW CREEK LANDSCAPING LLC
1307,H & M CONSTRUCTORS
8280,"ECS SOUTHEAST, LLP"
4575,BUNNELL-LAMMONS ENGINEERING
32159,"BASELINE SPORTS CONSTRUCTION, LLC"
8204,FIRE & POLICE SELECTION INC
4596,SCHNABEL ENGINEERING SOUTH PC
21287,"TRANE US, INC."
1987,OPEX CORPORATION
673,DIXON HUGHES PLLC
9094,SKYLAND INN LLC
20617,CAROLINA SMALL BUSINESS DEVELOPMENT FUND
4007,HERC RENTALS INC
38588,"WEST END CLINGMAN AVENUE NEIGHBORHOOD, INC"
1754,MATTERN & CRAIG
9099,WILLIAM LEE CLARKE
23770,"TRAUMA INTERVENTION PROGRAMS, INC."
33544,"SZOSTAK DESIGN, INC."
6055,RIVERTOP CONTRACTING INC
2751,"VAUGHN & MELTON CONSULTING ENGINEERS,INC."
29072,AMERICAN CONSERVATION EXPERIENCE
29523,"TERRACON CONSULTANTS, INC"
7947,MOUNTAIN BIZWORKS INC
14769,"DR. DOG, LLC"
24009,"BUCKEYE BRIDGE, LLC "
35773,"NEW NET TECHNOLOGIES, LLC"
13640,AIRVENT EXTERIORS
19437,"WEST CAROLINA FREIGHTLINER, LLC"
8097,DARLA FOGLE
1694,ASHEVILLE ADDICTION CONSULTANT
94,ROTARY INTERNATIONAL
17365,JOHNSON CONTROLS SECURITY SOLUTIONS
28558,SPARC FOUNDATION INC
4174,CAROLINA MOUNTAIN ROOFING
11641,*** DO NOT USE ** USE VENDOR # 1188
8560,CAMPBELL CRANE
4282,CREDITRON DBA PUREPAY RECEIVA
34950,ACE APPRAISALS
16421,"ALLISON CONTRACTORS, LLC"
11487,OZONIA NORTH AMERICA
9034,"DAVID NEW, III"
37123,"FLASHPARKING, INC."
8779,DAVENPORT & COMPANY LLC
1706,MCGILL ASSOCIATES PA
22492,"THOMAS A. STEITLER, MAI"
1484,"KEYSTONE LABORATORIES, INC"
1211,HOMEWARD BOUND
10783,"JAMES RIVER EQUIPMENT VIRGINIA,LLC"
12674,"LEWIS, MARK A."
22653,"WNC BLUE RIDGE FOOD VENTURES, LLC"
31204,"HARPERS PROFESSIONAL JANITORIAL SERVICES, LLC"
3507,"EAN HOLDINGS, LLC"
7666,CAVANAUGH MACDONALD
2103,"TPM ,INC."
26385,BOUNTIFUL CITIES PROJECT INC
1255,HENDERSON COUNTY
9059,CHARISMA ARTIST AGENCY
5951,PUBLIC INTEREST PROJECTS INC
9197,SLOW FOOD ASHEVILLE
1362,INSURANCE SERVICE OF ASHEVILLE
891,EMMA BUS LINES
9232,"JACKSON ELECTRICAL CONTRACTORS, INC."
10129,BUILD IT NATURALLY
27065,UNITED CANVAS & SLING INC
5510,CAROLINA SPECIALTIES CONSTRUCT
15179,"COLE JENEST & STONE, PA"
34661,GMV SYNCROMATICS
3204,MAIL MANAGEMENT SERVICES
8618,WNC PARKING LOT SERVICES
21649,BIZODO INC.
27758,MATTAR BUILDERS LLC
34962,SWIM CLUB MANAGEMENT GROUP OF CHARLOTTE
37376,"GLEESON BUILDERS, LLC"
2361,MARK SMALL
10782,LEADERSHIP ASHEVILLE
13811,PINNACLE LANDSCAPE LLC.
34242,"MACKAY METERS, INC."
609,CINCINNATI SYSTEMS INC
4798,WYATT WASTE CONTAINER LLC
190,ALARM SERVICES OF ASHEVILLE INC.
29335,PANTHEON SYSTEMS INC
12451,"PETDATA, INC."
19829,THE SEGAL COMPANY (WESTERN STATES) INC.
20526,IHEARTMEDIA AND ENTERTAINMENT INC.
20294,"J.L. KUDER ENTERPRISES, INC."
31778,ELECTRIC MOTORS
6956,"FRENCH BROAD PAVING,INC"
9064,LEGAL SUPPORT STAFF OF ASHEVIL
20892,MAMACITAS
24478,"MADRID'S MAINTENANCE MANAGEMENT SOLUTIONS, INC"
188,ANIMAL HOSPITAL OF NORTH ASHEV
1244,HENSONS INC
18121,"MATCHAR, DANIEL WILLIAM"
26793,CAROLINA FITNESS
812,DODSON BROS EXTERMINATING
5778,BROWN AND CALDWELL
4245,CANDLER CONCRETE WORKS INC
2418,S&ME
15934,"ESKOLA, LLC"
685,ASHEVILLE AREA ARTS COUNCIL
5162,TOWER ASSOCIATES INC
21842,"S & S MANAGEMENT GROUP, LLC"
38881,AOA SIGNS INC
10290,"GLAZER ARCHITECTURE, INC."
5861,PMA MANAGEMENT CORPORATION
1030,ASHEVILLE HUMANE SOCIETY
12673,"REED, MELISA BUTLER"
16257,"MICHELIN NORTH AMERICA, INC."
27765,4-CO COLLABORATIVE PLLC
34917,MOUNTAIN GOATSCAPES
37448,ELIZABETH SANFORD
37970,APPALACHIAN SITEWORK INC
8974,ROBERT BARRETT
21768,EVOKING WISDOM      
23665,"ACROSS THE STREET PRODUCTIONS, INC."
4335,MATHEWS ARCHITECTURE
340,BENJAMIN T BEASLEY & ASSOCIATE
10477,GREENE'S CONSTRUCTION COMPANY
20916,PLAYRACE INC.
30782,FRANK VISCUSO
34326,FUSIONSITE ASHEVILLE
36666,"INSTA ANSWER,LLC"
4764,PERRY BARTSCH JR CONSTRUCTION
2001,PEPSI COLA BOTTLING
15259,"MARTIN/ALEXIOU/BRYSON, PC"
18265,"PIEDMONT MEDIAWORKS, INC."
18478,"GRAHAM COUNTY LAND COMPANY, LLC"
35437,"120 WATER AUDIT,INC."
5484,REYNOLDS VOLUNTEER FIRE DEPT
1714,GREEN LINE MEDIA
7744,RENAISSANCE PLANNING GROUP
3330,PRAXAIR INC
10100,MOUNT ZION MISSIONARY BAPTIST CHURCH
10067,"MULLER, MARGARET"
32710,SPEAKWRITE LLC
4564,CAROLINA ENERGY SYSTEMS
37844,DR. MATTHEW ALAN MAHAR
6903,RENTAL UNIFORM SERVICE OF
12760,"BELLSOUTH TELECOMMUNICATIONS, INC."
791,"DANIELS BUSINESS SERVICES, INC."
11052,JM TEAGUE ENGINEERING & CONSULTING
2664,THE PERKINSON COMPANY
11941,"ADAMS, ROBERT"
20385,JTC APPRAISALS INC. 
30240,"UNITED ELEVATOR SERVICES, LLC"
10043,"SCHULTZ & WILLIAMS, INC."
10980,KATALYST NETWORK GROUP
11695,"ENVIROSAFE CONSULTING & INVESTIGATIONS, INC."
12085,"C2 INVESTMENT GROUP, INC."
28095,CENTER FOR SOCIAL INCLUSION INC
6432,ATLANTA BREAD COMPANY
10143,"ASHFORD, WAYNE"
11168,"BOROS, ADRIAN"
11689,"GRAMMER INDUSTRIES, INC."
28654,VOCATIONAL SOLUTIONS OF HENDERSON COUNTY INC
10025,"MORRIS, MARK A  DBA FENCE SCAPES"
7594,PRIME TIME CATERERS INC
25120,WALTER P. MOORE & ASSOCIATES
10707,"MOORE, NATHAN"
1713,DAIKIN APPLIED AMERICAS INC.
12649,"ACCELA, INC."
10262,LAURA DOMINKOVIC
11680," COLE  SURVEYING AND DESIGN, PA"
28534,NETWORKFLEET INC
18791,WSP USA CORP.
33575,MPACT STRATEGIC CONSULTING LLC
7155,BUNCOMBE COUNTY PLANNING DEPAR
16673,"APPALACHIAN PAVING AND CONCRETE, INC."
19668,"WILDE ACRE LANDSCAPES, INC."
32198,GENERAL ELECTRIC COMPANY
7724,DISTINCTIVE AFWS DESIGNS
11304,"ALPHA ENVIRONMENTAL SCIENCES, INC."
1123,GROVE PARK INN
31411,F C MCCOLM CONSULTING LLC
11211,MOUN ZION COMMUNITY DEVELOPMENT INC.
39,ASHEVILLE ELEVATOR COMPANY
19818,"EVERBRIDGE, INC."
4814,CENTER FOR DIVERSITY EDUCATION
8726,STANLEY CORWIN
11159,"LOCALJOBS.COM, INC."
17225,"MOUNTAIN HEART, INC."
11643,H & M CONSTRUCTORS
19189,"EUROFINS EATON ANALYTICAL, INC."
34357,"EXCAVATING UNLIMITED OF NC, LLC"
8643,VALLEYCREST LANDSCAPE DEVELOPM
5440,MADISON COUNTY
1377,NC STATE UNIVERSITY
8957,SITE DEVELOPMENT CORPORATION
19141,GSA
37964,RYAN PICKENS
7499,"NEW DIMENSIONS IN PAVEMENT MARKINGS, INC."
18224,"NHM CONSTRUCTORS, LLC"
12819,W.K. DICKSON & CO. INC.
37968,TEQUITY
916,EMORY ELECTRIC INC
5977,G4S SECURE SOLUTIONS (USA) INC
10882,"FINKE, JORDAN"
25016,CAMPAIGN RESEARCH AND STRATEGY
25047,"FLETCHER HOSPITAL, INC, DBA  ADVENTHEALTH  HENDERS"
35848,"CMTA,INC"
4080,REEMS CREEK VALLEY FIRE DEPT
12339,"ELLUM ENGINEERING, INC."
37341,"ZENCITY TECHNOLOGIES US, INC"
33,ASHEVILLE BUNCOMBE COMMUNITY RELATIONS COUNCIL
15130,"PASSPORT LABS, INC."
34185,ACUMEN DATA SYSTEMS INC.
6940,"SKYRUNNER,INC"
9011,SHAUN WARD
5444,ASHEVILLE STAFFING RESOURCES
1535,LAND-OF-SKY REGIONAL COUNCIL
15118,SOUTHSIDE COMMUNITY ADVISORY BOARD
19640,"BENTON ROOFING, INC."
26005,GILBERT ENGINEERING COMPANY
17106,"CHERRY BEKAERT, LLP"
7075,WILLIAM N SAYLOR
3364,ASPHALT UNLIMITED OF ASHEVILLE
10873,WILLIAM A STEWART SUPERIOR PAINTING INC.
11392,"POORE, PAUL EDWARD JR."
6738,MAYBINS EMERGENCY POWER
27632,MOBILE COMMUNICATIONS AMERICA INC
30830,JUST ECONOMICS
20175,"ALTA PLANNING & DESIGN, INC."
10098,AMERICAN IMAGE GRAPHICS CORP.
20011,"KERCHER ENGINEERING, INC."
38008,WEBSEDGE LIMITED
10652,CONSOLIDATED ELECTRICAL DIST.
32613,IBI GROUP
3119,OLEN HENSLEY AUTOMOTIVE INC
9235,"ASHEVILLE DESIGN CENTER, INC."
20771,"HAREN CONSTRUCTION COMPANY, INC."
21673,MICHIGAN COALITION AGAINST HOMELESS
32619,"E. LUKE GREENE COMPANY, INC."
8573,LAURA REED & DEEP POCKET
6103,ASHEVILLE FIRE PROTECTION CO I
558,CURBSIDE MANAGEMENT INC
9030,DAVID MENDELSOHN
9999,CHANGE ORDER VENDOR
1235,HELPMATE INC
10111,HOLLOWAY FENCE CO.
18886,"PUFFER, JOLENE"
7727,EMPLOYEE ASSISTANCE NETWORK IN
29722,DEWAYNE BARTON
36500,WXPROOFING LLC
11258,"NET TRANSCRIPTS, INC"
5823,"MUNICIPAL EMERGENCY SERVICES, INC."
7653,ED HOLMES & ASSOCIATES
12687,INTERSTATE ROAD MANAGEMENT
19740,THE BUDD GROUP INC.
9017,MARVIN SMITH
12894,"J AND S COSTELLO, LL"
34359,CITIZEN OBSERVER LLC
1914,CARL NEFF
10715,"KUHN, MARK"
11551,"FIND GREAT PEOPLE, LLC"
38179,TOM ALBANESE CONSULTING LLC
22079,"BISSINGER, SCOTT J."
35996,"TURNER LAND SURVEYING, PLLC"
1961,OFFICE ENVIRONMENT OF ASHE
23176,HARPER CORPORATION - GENERAL CONTRACTORS
6573,NSF - ISR
14955,"RHINEHART FAMILY COMPANY, INC."
18415,URBAN TRANSPORTATION ASSOCIATES
15995,"FRESHWATER FINISHES, LLC"
30697,"DUKE ENERGY PROGRESS, LLC"
3574,MOUNTAIN ENVIRONMENTAL SERVICE
2560,TAYLOR & MURPHY CONSTR
14834,"ELIADA HOMES, INC."
16373,JENNIFER GREER FARES
25250,MS LEAN
5844,MEDALLION ATHLETIC PRODUCTS IN
10436,BUSINESS EQUIPMENT SERVICE
7561,CORT ARCHITECTURAL GROUP PA
14772,BBS ENTERTAINMENT INC.
10032,"LIPE, JOHN R., JR."
11612,"FENNELL, BRENDA LEE"
20473,"BRIGMAN ELECTRIC SALES AND SERVICE, LLC"
10759,"RAFFERTY, ADAM"
37330,"SIMPLE COMMUNICATIONS TECHNOLOGIES, LLC"
23671,35 DEGREES NORTH LANDSCAPE SERVICES
27192,THE HAWKINS COMPANY
8736,DANIEL RICE
2533,SOUTHEASTERN TELECOM INC
10811,TJ COMMUNICATIONS
15918,"ASHEVILLE CRANE, INC"
19170,FROST PAVING
1684,MCNUTT SERVICE GROUP INC
11055,MCELRATH ROOFING INC.
10016,HACH COMPANY
2071,PARKER POE ADAMS & BERNSTEIN LLP
1119,GRINDSTAFF FENCE COMPANY INC
10118,"ASHEVILLE BUNCOMBE COMM CHRISTIAN MINISTRY, INC."
16363,"TRACI JONES DESIGN, LLC"
29803,"J. BRADY CONTRACTING, INC"
6842,SITEWORK STUDIOS
7650,MELISSA NICOLE PHELPS
2892,WLOS TV
6200,ASHEVILLE LYRIC OPERA
20285,"SMITH DRAY LINE & STORAGE CO., INC."
512,DUKE ENERGY PROGRESS INC.
4495,EMA SERVICES INC
21083,"GHD CONSULTING SERVICES, INC."
30754,"COUNCIL ON AGING OF BUNCOMBE COUNTY, INC"
35282,"SHEMEKKA EBONY,LLC"
234,ANCHOR-RICHEY
10667,"FITZPATRICK, KEVIN"
24051,"GRANICUS, INC"
30461,DOMOKUR ARCHITECTS INC
31059,"TEXTMARKS, INC."
31568,"RENEWABLE DESIGN ASSOCIATES, LLC"
8458,JIMMY L BRANCH JR.
7213,"PARTNERS UNLIMITED,INC,"
10502,"HUMBOLDT SCIENTIFIC, INC."
31983,RESTOCON CORPORATION
37456,ASHEVILLE ARBORIST INC
17833,"CLOUDVELOX, INC."
10038,"CLEAN ENVIRONMENTS OF ASHEVILLE, INC."
1983,ONE YOUTH AT A TIME
10097,"RUFFINI, NINA"
32024,RESPONDER SUPPORT SERVICES
6352,WORKPLACE INTEGRA HEARING
11254,WASTE PRO
19647,"THOMAS CONSTRUCTION CO., INC."
37833,FIRST DATA CORPORATION (SUBSIDIARY OF FISERV)
11752,"LAND OF THE SUN, INC"
12351,IRWIN SEATING COMPANY
31994,"SLURRY PAVERS, INC."
10723,"INNER VISIONS ENTERTAINMENT, LLC"
22654,READ TO SUCCEED ASHEVILLE
35447,ASHEVILLE-BUNCOMBE COMMUNITY LAND TRUST
4657,SOFTWARE HOUSE INTERNATIONAL
30380,"CODE FOR AMERICA, CFA"
866,"DIBOCO FIRE SPRINKLERS, INC"
10355,"NORSEMAN ENVIRONMENTAL SALES, LLC."
7428,PHOENIX SKI CORP
15246,PATRICIA MILLER
3547,GREENE BROS. WELL & PUMP INC.
20710,JEANNINE CASSELL
12092,MID ATLANTIC TENTS AND EVENTS
23541,A. TYLER ST. CLAIR  
4368,FIRST RESTORATION SERVICES
16084,"SAGE SECURITY SOLUTIONS, LLC"
10883,"COX, DANIELLE"
19662,"ROBERT HALF INTERNATIONAL, INC."
22205,ALLSOURCE ENTERPRISES LLC
9174,PRATERS INCORPORATED
31891,"MCCRACKEN & LOPEZ , PA"
23651,"RAMUNDSEN SUPERIOR HOLDINGS, LLC"
18619,"UNIFIED TECHNOLOGY SYSTEMS, INC."
27572,PROMAXIMA MANUFACTURING LLC
19034,"HYDROMAX USA, LLC"
25558,"VERA INSTITUTE OF JUSTICE, INC."
8747,SOLID ROCK MISSIONARY BAPTIST
12773,"SEPI ENGINEERING & CONSTRUCTION, INC."
